time;Tac;hs;u;Rg
2021-01-01 00:00:00;6.48;82.8;0.001;0.0
2021-01-01 01:00:00;6.751;81.5;0.002;0.0
2021-01-01 02:00:00;6.48;87.4;0.0;0.0
2021-01-01 03:00:00;5.734;83.1;0.0;0.0
2021-01-01 04:00:00;5.399;83.3;0.0;0.0
2021-01-01 05:00:00;4.588;84.0;0.0;0.0
2021-01-01 06:00:00;4.052;88.9;0.0;0.0
2021-01-01 07:00:00;3.373;89.0;0.002;0.0
2021-01-01 08:00:00;2.837;87.3;0.0;12.98611111111111
2021-01-01 09:00:00;4.393;84.8;0.001;87.30555555555556
2021-01-01 10:00:00;6.218;87.5;0.0;200.0
2021-01-01 11:00:00;7.76;76.0;0.035;340.0
2021-01-01 12:00:00;8.14;56.08;0.05;321.6666666666667
2021-01-01 13:00:00;9.16;53.03;0.015;288.05555555555554
2021-01-01 14:00:00;10.03;47.72;0.195;343.8888888888889
2021-01-01 15:00:00;10.76;46.63;0.14;260.27777777777777
2021-01-01 16:00:00;8.2;52.61;0.094;61.111111111111114
2021-01-01 17:00:00;5.924;61.87;0.001;0.0
2021-01-01 18:00:00;4.248;62.44;0.0;0.0
2021-01-01 19:00:00;3.577;67.61;0.01;0.0
2021-01-01 20:00:00;2.768;68.57;0.007;0.0
2021-01-01 21:00:00;1.962;70.8;0.0;0.0
2021-01-01 22:00:00;2.03;71.0;0.0;0.0
2021-01-01 23:00:00;1.012;73.9;0.0;0.0
2021-01-02 00:00:00;1.628;73.3;0.0;0.0
2021-01-02 01:00:00;1.488;67.36;0.002;0.0
2021-01-02 02:00:00;2.03;67.09;0.01;0.0
2021-01-02 03:00:00;2.37;66.34;0.052;0.0
2021-01-02 04:00:00;2.506;63.89;0.019;0.0
2021-01-02 05:00:00;2.438;63.96;0.616;0.0
2021-01-02 06:00:00;2.841;61.58;0.572;0.0
2021-01-02 07:00:00;2.971;62.12;0.26;0.0
2021-01-02 08:00:00;4.868;53.83;0.321;7.033333333333333
2021-01-02 09:00:00;4.527;56.34;0.435;41.22222222222222
2021-01-02 10:00:00;4.928;54.16;0.752;116.36111111111111
2021-01-02 11:00:00;5.598;55.98;0.649;92.66666666666667
2021-01-02 12:00:00;6.276;52.99;0.087;68.69444444444444
2021-01-02 13:00:00;5.802;57.61;0.157;87.22222222222223
2021-01-02 14:00:00;6.751;57.74;0.006;64.19444444444444
2021-01-02 15:00:00;6.344;57.95;0.015;18.15277777777778
2021-01-02 16:00:00;5.191;73.2;0.088;10.988888888888889
2021-01-02 17:00:00;4.112;72.7;0.34;1.127777777777778
2021-01-02 18:00:00;4.594;70.5;0.36;0.0
2021-01-02 19:00:00;4.392;62.11;0.547;0.08888888888888889
2021-01-02 20:00:00;4.392;54.1;1.36;0.0
2021-01-02 21:00:00;4.527;53.01;1.133;0.0
2021-01-02 22:00:00;4.663;51.11;1.717;0.0
2021-01-02 23:00:00;4.661;51.38;1.859;0.0
2021-01-03 00:00:00;4.457;52.67;1.885;0.0
2021-01-03 01:00:00;4.254;52.06;2.034;0.0
2021-01-03 02:00:00;3.916;52.33;1.979;0.0
2021-01-03 03:00:00;3.781;51.99;1.895;0.0
2021-01-03 04:00:00;3.577;52.47;1.735;0.0
2021-01-03 05:00:00;2.763;50.43;0.969;0.0
2021-01-03 06:00:00;2.967;53.9;0.779;0.0
2021-01-03 07:00:00;2.703;54.79;0.31;0.0
2021-01-03 08:00:00;2.777;52.01;0.441;8.405555555555555
2021-01-03 09:00:00;3.315;53.02;0.521;61.02777777777778
2021-01-03 10:00:00;5.546;47.11;0.611;176.69444444444446
2021-01-03 11:00:00;5.667;42.95;1.444;199.44444444444446
2021-01-03 12:00:00;6.005;43.16;0.839;135.75
2021-01-03 13:00:00;5.528;55.16;0.894;151.33333333333334
2021-01-03 14:00:00;5.186;59.03;0.271;116.91666666666669
2021-01-03 15:00:00;4.512;59.64;0.402;63.388888888888886
2021-01-03 16:00:00;4.716;65.0;0.071;20.88888888888889
2021-01-03 17:00:00;4.315;67.8;0.043;0.7527777777777778
2021-01-03 18:00:00;3.572;70.8;0.0;0.0
2021-01-03 19:00:00;3.849;68.35;0.146;0.0
2021-01-03 20:00:00;3.916;68.42;0.57;0.0
2021-01-03 21:00:00;3.577;70.3;0.501;0.0
2021-01-03 22:00:00;3.441;70.7;1.042;0.0
2021-01-03 23:00:00;3.306;76.0;0.23;0.0
2021-01-04 00:00:00;3.17;81.4;0.089;0.0
2021-01-04 01:00:00;2.898;81.8;0.003;0.0
2021-01-04 02:00:00;2.627;83.6;0.0;0.0
2021-01-04 03:00:00;2.695;83.2;0.003;0.0
2021-01-04 04:00:00;2.695;85.2;0.0;0.0
2021-01-04 05:00:00;1.747;84.5;0.001;0.0
2021-01-04 06:00:00;1.487;86.8;0.0;0.0
2021-01-04 07:00:00;0.401;84.9;0.0;0.0
2021-01-04 08:00:00;1.147;84.4;0.026;9.847222222222221
2021-01-04 09:00:00;2.03;84.1;0.0;51.72222222222222
2021-01-04 10:00:00;4.802;70.7;0.103;265.8333333333333
2021-01-04 11:00:00;5.597;67.72;0.348;421.1111111111111
2021-01-04 12:00:00;5.309;63.69;0.138;315.27777777777777
2021-01-04 13:00:00;6.456;61.99;0.056;318.3333333333333
2021-01-04 14:00:00;5.837;63.26;0.215;306.1111111111111
2021-01-04 15:00:00;6.516;62.45;0.393;241.38888888888889
2021-01-04 16:00:00;5.707;65.03;0.184;93.72222222222223
2021-01-04 17:00:00;3.831;69.0;0.166;3.8666666666666663
2021-01-04 18:00:00;3.772;73.4;0.099;0.0
2021-01-04 19:00:00;3.237;75.5;0.0;0.0
2021-01-04 20:00:00;1.949;75.3;0.0;0.0
2021-01-04 21:00:00;1.555;79.7;0.0;0.0
2021-01-04 22:00:00;1.962;81.4;0.0;0.0
2021-01-04 23:00:00;2.302;81.1;0.0;0.0
2021-01-05 00:00:00;1.691;78.7;0.0;0.0
2021-01-05 01:00:00;1.691;81.2;0.011;0.0
2021-01-05 02:00:00;1.283;82.2;0.0;0.0
2021-01-05 03:00:00;0.741;83.5;0.0;0.0
2021-01-05 04:00:00;-0.205;84.4;0.003;0.0
2021-01-05 05:00:00;-0.74;85.7;0.0;0.0
2021-01-05 06:00:00;-1.08;85.4;0.0;0.0
2021-01-05 07:00:00;-1.216;85.0;0.001;0.0
2021-01-05 08:00:00;-1.148;85.2;0.0;9.119444444444444
2021-01-05 09:00:00;0.754;84.7;0.004;99.36111111111113
2021-01-05 10:00:00;3.659;66.61;0.021;284.44444444444446
2021-01-05 11:00:00;5.736;48.38;0.572;379.72222222222223
2021-01-05 12:00:00;7.07;46.66;0.554;419.44444444444446
2021-01-05 13:00:00;7.12;40.27;0.48;379.72222222222223
2021-01-05 14:00:00;7.33;44.21;0.257;200.55555555555554
2021-01-05 15:00:00;7.33;42.85;0.523;141.55555555555554
2021-01-05 16:00:00;6.122;51.62;0.633;54.6388888888889
2021-01-05 17:00:00;5.391;56.99;0.032;2.9833333333333334
2021-01-05 18:00:00;4.852;60.87;0.023;0.0
2021-01-05 19:00:00;2.15;57.22;0.065;0.0
2021-01-05 20:00:00;1.61;58.24;0.021;0.0
2021-01-05 21:00:00;1.351;61.45;0.046;0.0
2021-01-05 22:00:00;0.741;64.71;0.011;0.0
2021-01-05 23:00:00;0.345;65.48;0.0;0.0
2021-01-06 00:00:00;-0.333;66.7;0.0;0.0
2021-01-06 01:00:00;-1.08;67.52;0.0;0.0
2021-01-06 02:00:00;-0.605;65.75;0.018;0.0
2021-01-06 03:00:00;-1.621;67.86;0.0;0.0
2021-01-06 04:00:00;-1.883;71.4;0.0;0.0
2021-01-06 05:00:00;-2.969;75.2;0.001;0.0
2021-01-06 06:00:00;-3.513;77.0;0.0;0.0
2021-01-06 07:00:00;-2.833;77.8;0.0;0.0
2021-01-06 08:00:00;-2.697;76.0;0.007;10.872222222222222
2021-01-06 09:00:00;1.306;60.33;0.033;87.52777777777777
2021-01-06 10:00:00;3.594;48.55;0.699;287.22222222222223
2021-01-06 11:00:00;5.262;40.72;0.195;384.1666666666667
2021-01-06 12:00:00;6.729;35.0;0.178;424.44444444444446
2021-01-06 13:00:00;6.854;35.39;0.167;407.5
2021-01-06 14:00:00;7.19;36.54;0.269;337.22222222222223
2021-01-06 15:00:00;7.86;32.27;0.107;213.88888888888889
2021-01-06 16:00:00;4.827;44.01;0.333;71.86111111111111
2021-01-06 17:00:00;2.276;51.98;0.073;1.4361111111111111
2021-01-06 18:00:00;1.274;60.01;0.099;0.0
2021-01-06 19:00:00;0.808;65.52;0.0;0.0
2021-01-06 20:00:00;-0.063;66.49;0.002;0.0
2021-01-06 21:00:00;-1.827;71.8;0.0;0.0
2021-01-06 22:00:00;-2.362;73.4;0.0;0.0
2021-01-06 23:00:00;-2.63;73.4;0.0;0.0
2021-01-07 00:00:00;-2.901;73.9;0.014;0.0
2021-01-07 01:00:00;-2.562;75.9;0.0;0.0
2021-01-07 02:00:00;-2.358;73.2;0.0;0.0
2021-01-07 03:00:00;-3.037;73.4;0.001;0.0
2021-01-07 04:00:00;-2.562;71.8;0.0;0.0
2021-01-07 05:00:00;-2.765;71.0;0.002;0.0
2021-01-07 06:00:00;-3.649;72.4;0.009;0.0
2021-01-07 07:00:00;-4.192;74.7;0.0;0.0
2021-01-07 08:00:00;-2.562;70.1;0.031;9.697222222222223
2021-01-07 09:00:00;1.104;57.07;0.297;96.16666666666667
2021-01-07 10:00:00;3.594;48.75;0.239;278.05555555555554
2021-01-07 11:00:00;5.873;37.53;0.586;379.72222222222223
2021-01-07 12:00:00;6.053;33.84;0.339;374.44444444444446
2021-01-07 13:00:00;6.249;33.97;0.265;304.44444444444446
2021-01-07 14:00:00;6.855;35.33;0.097;238.05555555555554
2021-01-07 15:00:00;6.327;40.02;0.015;108.3888888888889
2021-01-07 16:00:00;4.237;44.03;0.014;44.52777777777778
2021-01-07 17:00:00;3.436;52.73;0.0;1.613888888888889
2021-01-07 18:00:00;3.035;56.48;0.0;0.0
2021-01-07 19:00:00;2.029;58.87;0.0;0.0
2021-01-07 20:00:00;1.623;58.05;0.0;0.0
2021-01-07 21:00:00;0.536;63.15;0.003;0.0
2021-01-07 22:00:00;-0.07;67.23;0.0;0.0
2021-01-07 23:00:00;-1.012;67.79;0.0;0.0
2021-01-08 00:00:00;-0.401;66.02;0.003;0.0
2021-01-08 01:00:00;-0.197;61.2;0.008;0.0
2021-01-08 02:00:00;-1.216;63.58;0.006;0.0
2021-01-08 03:00:00;-1.478;62.71;0.012;0.0
2021-01-08 04:00:00;-1.142;58.36;0.016;0.0
2021-01-08 05:00:00;-1.148;58.55;0.035;0.0
2021-01-08 06:00:00;-2.099;62.01;0.003;0.0
2021-01-08 07:00:00;-0.261;57.33;0.079;0.0
2021-01-08 08:00:00;-0.061;55.63;0.039;9.805555555555555
2021-01-08 09:00:00;3.469;45.3;0.233;92.52777777777777
2021-01-08 10:00:00;6.499;35.43;0.664;288.05555555555554
2021-01-08 11:00:00;7.69;31.75;0.718;395.27777777777777
2021-01-08 12:00:00;8.35;30.79;0.658;436.1111111111111
2021-01-08 13:00:00;9.29;31.86;0.563;401.6666666666667
2021-01-08 14:00:00;8.6;32.94;0.383;308.3333333333333
2021-01-08 15:00:00;8.61;31.8;0.353;210.0
2021-01-08 16:00:00;5.843;38.52;0.302;55.666666666666664
2021-01-08 17:00:00;4.917;43.83;0.058;2.5861111111111112
2021-01-08 18:00:00;4.319;47.58;0.047;0.0
2021-01-08 19:00:00;4.256;44.66;0.331;0.0
2021-01-08 20:00:00;3.713;47.24;0.541;0.0
2021-01-08 21:00:00;2.83;48.06;0.747;0.0
2021-01-08 22:00:00;2.83;48.6;0.886;0.0
2021-01-08 23:00:00;2.966;49.35;1.114;0.0
2021-01-09 00:00:00;3.781;50.36;1.003;0.0
2021-01-09 01:00:00;3.849;49.55;1.141;0.0
2021-01-09 02:00:00;3.373;47.72;1.1;0.0
2021-01-09 03:00:00;4.052;47.65;1.256;0.0
2021-01-09 04:00:00;3.983;49.28;1.328;0.0
2021-01-09 05:00:00;4.05;48.46;1.204;0.0
2021-01-09 06:00:00;3.373;47.31;1.088;0.0
2021-01-09 07:00:00;3.984;47.99;1.138;0.0
2021-01-09 08:00:00;3.984;45.61;1.011;7.963888888888889
2021-01-09 09:00:00;3.849;41.95;1.246;60.47222222222222
2021-01-09 10:00:00;6.008;38.14;1.26;208.88888888888889
2021-01-09 11:00:00;5.734;38.47;1.138;193.11111111111111
2021-01-09 12:00:00;7.49;37.65;0.782;276.3888888888889
2021-01-09 13:00:00;7.88;36.56;0.967;254.44444444444446
2021-01-09 14:00:00;6.394;36.97;0.47;128.94444444444446
2021-01-09 15:00:00;7.14;38.05;0.614;88.19444444444444
2021-01-09 16:00:00;6.743;36.97;0.266;29.833333333333332
2021-01-09 17:00:00;6.141;41.26;0.273;1.636111111111111
2021-01-09 18:00:00;4.105;46.96;0.414;0.0
2021-01-09 19:00:00;4.519;44.32;0.461;0.0
2021-01-09 20:00:00;3.033;43.78;0.355;0.0
2021-01-09 21:00:00;3.713;47.65;0.872;0.0
2021-01-09 22:00:00;3.509;48.12;1.024;0.0
2021-01-09 23:00:00;3.781;47.17;0.932;0.0
2021-01-10 00:00:00;3.238;44.05;0.667;0.0
2021-01-10 01:00:00;3.849;48.06;1.204;0.0
2021-01-10 02:00:00;3.916;48.19;0.993;0.0
2021-01-10 03:00:00;2.966;47.65;0.562;0.0
2021-01-10 04:00:00;3.713;48.26;0.559;0.0
2021-01-10 05:00:00;3.577;47.38;0.15;0.0
2021-01-10 06:00:00;3.306;50.03;0.075;0.0
2021-01-10 07:00:00;3.034;50.3;0.098;0.0
2021-01-10 08:00:00;3.17;48.53;0.122;3.3833333333333333
2021-01-10 09:00:00;3.441;49.01;0.243;24.055555555555557
2021-01-10 10:00:00;3.509;48.4;0.187;43.5
2021-01-10 11:00:00;3.981;45.41;0.097;72.80555555555556
2021-01-10 12:00:00;3.501;45.27;0.088;117.91666666666667
2021-01-10 13:00:00;4.784;45.39;0.076;132.25
2021-01-10 14:00:00;5.191;43.97;0.251;124.5
2021-01-10 15:00:00;4.309;43.83;0.081;68.58333333333333
2021-01-10 16:00:00;4.58;45.06;0.072;30.75
2021-01-10 17:00:00;4.112;45.74;0.052;2.0555555555555554
2021-01-10 18:00:00;2.898;45.95;0.199;0.0
2021-01-10 19:00:00;2.695;48.33;0.39;0.0
2021-01-10 20:00:00;1.546;50.1;0.088;0.0
2021-01-10 21:00:00;2.03;50.38;0.058;0.0
2021-01-10 22:00:00;1.351;50.72;0.0;0.0
2021-01-10 23:00:00;-0.482;57.51;0.033;0.0
2021-01-11 00:00:00;-1.083;60.24;0.021;0.0
2021-01-11 01:00:00;-0.948;62.01;0.02;0.0
2021-01-11 02:00:00;-1.081;64.19;0.0;0.0
2021-01-11 03:00:00;-1.963;65.61;0.0;0.0
2021-01-11 04:00:00;-1.69;67.38;0.012;0.0
2021-01-11 05:00:00;-2.632;66.99;0.0;0.0
2021-01-11 06:00:00;-2.969;67.2;0.001;0.0
2021-01-11 07:00:00;-3.105;67.06;0.001;0.0
2021-01-11 08:00:00;-2.562;67.47;0.0;12.930555555555555
2021-01-11 09:00:00;1.578;52.72;0.008;100.83333333333333
2021-01-11 10:00:00;3.119;43.25;0.0;280.55555555555554
2021-01-11 11:00:00;4.311;38.07;0.026;398.05555555555554
2021-01-11 12:00:00;4.899;34.86;0.096;443.3333333333333
2021-01-11 13:00:00;6.381;30.99;0.126;426.3888888888889
2021-01-11 14:00:00;7.86;31.86;0.177;351.6666666666667
2021-01-11 15:00:00;6.772;35.66;0.315;230.83333333333334
2021-01-11 16:00:00;4.621;40.76;0.44;85.25
2021-01-11 17:00:00;3.292;51.1;0.0;3.1388888888888884
2021-01-11 18:00:00;2.565;49.63;0.003;0.0
2021-01-11 19:00:00;0.74;55.95;0.0;0.0
2021-01-11 20:00:00;-0.81;60.25;0.0;0.0
2021-01-11 21:00:00;0.686;50.74;0.112;0.0
2021-01-11 22:00:00;-1.827;60.25;0.0;0.0
2021-01-11 23:00:00;-2.364;64.4;0.0;0.0
2021-01-12 00:00:00;-2.698;68.42;0.0;0.0
2021-01-12 01:00:00;-3.241;71.7;0.0;0.0
2021-01-12 02:00:00;-3.513;72.6;0.0;0.0
2021-01-12 03:00:00;-3.581;73.0;0.0;0.0
2021-01-12 04:00:00;-3.717;72.8;0.0;0.0
2021-01-12 05:00:00;-2.901;72.2;0.0;0.0
2021-01-12 06:00:00;-0.999;65.91;0.012;0.0
2021-01-12 07:00:00;-1.005;63.59;0.024;0.0
2021-01-12 08:00:00;-1.411;67.4;0.001;25.72222222222222
2021-01-12 09:00:00;3.267;59.77;0.0;98.72222222222223
2021-01-12 10:00:00;8.2;45.62;0.985;304.1666666666667
2021-01-12 11:00:00;8.43;42.67;2.708;389.1666666666667
2021-01-12 12:00:00;8.83;46.25;2.6;332.22222222222223
2021-01-12 13:00:00;7.87;47.13;2.983;290.0
2021-01-12 14:00:00;7.68;49.3;3.901;218.05555555555554
2021-01-12 15:00:00;8.02;50.39;2.196;161.5
2021-01-12 16:00:00;7.41;55.28;2.769;49.27777777777777
2021-01-12 17:00:00;6.814;56.58;1.695;1.7916666666666667
2021-01-12 18:00:00;7.57;52.11;0.896;0.0
2021-01-12 19:00:00;8.31;54.62;0.866;0.0
2021-01-12 20:00:00;8.24;56.72;1.98;0.0
2021-01-12 21:00:00;8.3;59.02;4.017;0.0
2021-01-12 22:00:00;7.83;57.33;4.261;0.0
2021-01-12 23:00:00;8.17;57.94;3.408;0.0
2021-01-13 00:00:00;9.12;60.92;2.782;0.0
2021-01-13 01:00:00;9.52;58.95;2.806;0.0
2021-01-13 02:00:00;9.79;60.03;2.941;0.0
2021-01-13 03:00:00;9.92;59.62;2.554;0.0
2021-01-13 04:00:00;9.72;56.03;2.901;0.0
2021-01-13 05:00:00;10.4;58.61;2.216;0.0
2021-01-13 06:00:00;9.65;58.27;1.492;0.0
2021-01-13 07:00:00;10.81;59.15;2.343;0.0
2021-01-13 08:00:00;10.67;54.33;1.576;18.058333333333334
2021-01-13 09:00:00;12.22;49.78;2.433;103.0277777777778
2021-01-13 10:00:00;12.82;47.53;2.889;245.0
2021-01-13 11:00:00;14.3;49.69;3.355;331.1111111111111
2021-01-13 12:00:00;13.81;44.66;3.741;387.22222222222223
2021-01-13 13:00:00;14.01;43.3;3.786;445.8333333333333
2021-01-13 14:00:00;13.74;49.33;3.348;186.94444444444446
2021-01-13 15:00:00;14.02;42.77;2.496;143.13888888888889
2021-01-13 16:00:00;12.66;45.41;1.71;81.58333333333333
2021-01-13 17:00:00;12.0;51.25;1.357;4.461111111111111
2021-01-13 18:00:00;11.19;56.82;1.425;0.0
2021-01-13 19:00:00;10.59;56.97;0.928;0.0
2021-01-13 20:00:00;11.89;53.38;1.593;0.0
2021-01-13 21:00:00;11.95;50.66;2.428;0.0
2021-01-13 22:00:00;11.88;49.17;2.183;0.0
2021-01-13 23:00:00;11.07;48.49;2.063;0.0
2021-01-14 00:00:00;11.55;46.53;2.618;0.0
2021-01-14 01:00:00;10.33;45.51;3.542;0.0
2021-01-14 02:00:00;10.74;51.75;1.902;0.0
2021-01-14 03:00:00;9.86;53.59;2.397;0.0
2021-01-14 04:00:00;9.31;51.35;1.55;0.0
2021-01-14 05:00:00;9.25;49.86;1.977;0.0
2021-01-14 06:00:00;9.93;51.62;1.559;0.0
2021-01-14 07:00:00;9.39;46.6;1.819;0.0
2021-01-14 08:00:00;10.33;48.43;1.832;21.5
2021-01-14 09:00:00;11.82;44.36;2.455;139.69444444444446
2021-01-14 10:00:00;11.94;39.33;2.295;295.0
2021-01-14 11:00:00;12.2;40.06;3.52;381.1111111111111
2021-01-14 12:00:00;12.93;37.07;3.23;479.72222222222223
2021-01-14 13:00:00;13.33;37.0;3.959;466.6666666666667
2021-01-14 14:00:00;12.72;39.58;3.932;326.94444444444446
2021-01-14 15:00:00;12.46;40.46;4.675;268.6111111111111
2021-01-14 16:00:00;12.26;47.72;4.382;105.69444444444444
2021-01-14 17:00:00;11.8;50.04;4.301;7.641666666666667
2021-01-14 18:00:00;10.45;53.17;4.095;0.0
2021-01-14 19:00:00;10.19;55.48;3.701;0.0
2021-01-14 20:00:00;10.39;56.9;2.929;0.0
2021-01-14 21:00:00;9.65;61.18;2.092;0.0
2021-01-14 22:00:00;11.48;56.03;1.779;0.0
2021-01-14 23:00:00;10.6;51.14;2.034;0.0
2021-01-15 00:00:00;11.21;51.14;2.337;0.0
2021-01-15 01:00:00;10.46;52.02;2.959;0.0
2021-01-15 02:00:00;11.28;50.47;2.123;0.0
2021-01-15 03:00:00;9.85;51.48;1.381;0.0
2021-01-15 04:00:00;9.58;45.58;1.871;0.0
2021-01-15 05:00:00;10.53;45.65;2.887;0.0
2021-01-15 06:00:00;10.4;46.46;2.647;0.0
2021-01-15 07:00:00;9.86;45.99;2.8;0.0
2021-01-15 08:00:00;9.52;45.18;2.716;16.42222222222222
2021-01-15 09:00:00;9.92;41.92;3.233;110.44444444444444
2021-01-15 10:00:00;9.85;45.85;2.619;77.86111111111111
2021-01-15 11:00:00;11.13;38.66;3.437;330.8333333333333
2021-01-15 12:00:00;11.52;41.42;3.514;380.55555555555554
2021-01-15 13:00:00;12.06;37.69;3.208;331.6666666666667
2021-01-15 14:00:00;10.97;36.94;3.484;431.1111111111111
2021-01-15 15:00:00;10.57;43.32;3.217;88.88888888888889
2021-01-15 16:00:00;9.7;43.33;2.882;73.88888888888889
2021-01-15 17:00:00;9.17;44.69;2.233;6.65
2021-01-15 18:00:00;8.36;44.29;2.271;0.0
2021-01-15 19:00:00;7.62;45.86;1.744;0.0
2021-01-15 20:00:00;7.02;46.75;1.205;0.0
2021-01-15 21:00:00;6.751;48.18;1.29;0.0
2021-01-15 22:00:00;6.209;46.96;1.427;0.0
2021-01-15 23:00:00;5.401;47.71;0.893;0.0
2021-01-16 00:00:00;4.188;53.08;0.008;0.0
2021-01-16 01:00:00;3.719;54.79;0.043;0.0
2021-01-16 02:00:00;2.845;55.54;0.05;0.0
2021-01-16 03:00:00;1.623;62.33;0.0;0.0
2021-01-16 04:00:00;0.751;63.37;0.0;0.0
2021-01-16 05:00:00;-1.08;68.74;0.0;0.0
2021-01-16 06:00:00;-0.672;71.1;0.0;0.0
2021-01-16 07:00:00;-1.345;73.2;0.0;0.0
2021-01-16 08:00:00;-1.612;74.8;0.0;23.444444444444443
2021-01-16 09:00:00;3.2;53.73;0.0;129.69444444444446
2021-01-16 10:00:00;5.487;37.2;0.012;255.0
2021-01-16 11:00:00;7.83;33.85;0.02;403.8888888888889
2021-01-16 12:00:00;9.29;30.72;0.439;461.94444444444446
2021-01-16 13:00:00;8.95;32.95;0.032;246.66666666666666
2021-01-16 14:00:00;10.18;31.26;0.011;230.55555555555554
2021-01-16 15:00:00;10.58;29.56;0.051;228.88888888888889
2021-01-16 16:00:00;8.34;34.85;0.006;59.583333333333336
2021-01-16 17:00:00;8.02;27.95;0.879;4.794444444444444
2021-01-16 18:00:00;7.7;31.62;0.05;0.0
2021-01-16 19:00:00;7.16;40.78;0.002;0.0
2021-01-16 20:00:00;6.412;44.51;0.007;0.0
2021-01-16 21:00:00;6.005;46.68;0.0;0.0
2021-01-16 22:00:00;8.24;25.38;1.407;0.0
2021-01-16 23:00:00;6.616;41.26;1.987;0.0
2021-01-17 00:00:00;6.616;48.58;1.19;0.0
2021-01-17 01:00:00;7.84;59.1;0.547;0.0
2021-01-17 02:00:00;8.18;61.95;1.967;0.0
2021-01-17 03:00:00;7.42;61.06;1.314;0.0
2021-01-17 04:00:00;6.479;65.21;0.293;0.0
2021-01-17 05:00:00;7.36;67.58;0.141;0.0
2021-01-17 06:00:00;8.72;63.38;0.692;0.0
2021-01-17 07:00:00;8.98;53.05;0.45;0.022222222222222223
2021-01-17 08:00:00;6.464;58.47;0.027;11.605555555555556
2021-01-17 09:00:00;7.63;59.5;0.003;74.25
2021-01-17 10:00:00;8.16;56.16;0.046;127.22222222222223
2021-01-17 11:00:00;11.33;46.04;0.03;378.6111111111111
2021-01-17 12:00:00;13.95;43.78;0.135;456.6666666666667
2021-01-17 13:00:00;14.0;34.21;1.283;446.6666666666667
2021-01-17 14:00:00;14.88;24.46;1.464;382.77777777777777
2021-01-17 15:00:00;13.18;30.22;1.246;250.55555555555554
2021-01-17 16:00:00;12.18;28.8;0.858;108.9722222222222
2021-01-17 17:00:00;10.92;33.36;1.206;6.491666666666668
2021-01-17 18:00:00;9.78;34.45;0.973;0.0
2021-01-17 19:00:00;8.77;35.95;0.943;0.0
2021-01-17 20:00:00;7.29;40.92;0.115;0.0
2021-01-17 21:00:00;6.689;42.35;0.0;0.0
2021-01-17 22:00:00;5.545;47.72;0.117;0.0
2021-01-17 23:00:00;5.274;51.38;0.232;0.0
2021-01-18 00:00:00;4.46;54.44;0.188;0.0
2021-01-18 01:00:00;5.478;52.47;0.359;0.0
2021-01-18 02:00:00;4.256;50.91;0.374;0.0
2021-01-18 03:00:00;4.799;48.33;0.445;0.0
2021-01-18 04:00:00;3.373;53.62;0.09;0.0
2021-01-18 05:00:00;3.86;56.35;0.003;0.0
2021-01-18 06:00:00;3.388;57.51;0.001;0.0
2021-01-18 07:00:00;3.388;56.29;0.0;0.0
2021-01-18 08:00:00;3.456;58.8;0.0;19.36111111111111
2021-01-18 09:00:00;7.73;46.57;0.0;131.08333333333334
2021-01-18 10:00:00;10.35;36.17;0.164;271.94444444444446
2021-01-18 11:00:00;11.06;32.28;0.115;411.1111111111111
2021-01-18 12:00:00;12.12;29.48;0.185;456.6666666666667
2021-01-18 13:00:00;12.79;27.85;0.313;444.44444444444446
2021-01-18 14:00:00;13.59;26.83;0.086;376.1111111111111
2021-01-18 15:00:00;12.78;28.18;0.085;258.8888888888889
2021-01-18 16:00:00;12.11;29.41;0.017;107.16666666666667
2021-01-18 17:00:00;8.95;36.14;0.001;5.233333333333333
2021-01-18 18:00:00;6.742;43.42;0.001;0.0
2021-01-18 19:00:00;5.4;52.46;0.0;0.0
2021-01-18 20:00:00;4.12;54.37;0.0;0.0
2021-01-18 21:00:00;3.654;56.42;0.0;0.0
2021-01-18 22:00:00;2.505;57.24;0.0;0.0
2021-01-18 23:00:00;1.826;60.02;0.0;0.0
2021-01-19 00:00:00;0.876;64.44;0.0;0.0
2021-01-19 01:00:00;0.27;67.91;0.0;0.0
2021-01-19 02:00:00;-0.401;72.3;0.0;0.0
2021-01-19 03:00:00;-0.333;72.5;0.0;0.0
2021-01-19 04:00:00;-1.488;74.0;0.0;0.0
2021-01-19 05:00:00;-1.488;74.9;0.0;0.0
2021-01-19 06:00:00;-0.537;74.4;0.002;0.0
2021-01-19 07:00:00;-1.352;76.5;0.0;0.0
2021-01-19 08:00:00;-0.398;76.1;0.0;20.0
2021-01-19 09:00:00;4.15;64.12;0.001;137.44444444444443
2021-01-19 10:00:00;7.52;45.75;0.006;271.6666666666667
2021-01-19 11:00:00;8.5;41.72;0.179;413.6111111111111
2021-01-19 12:00:00;9.9;39.19;0.153;454.1666666666667
2021-01-19 13:00:00;9.75;38.9;0.055;436.3888888888889
2021-01-19 14:00:00;11.5;40.46;0.113;372.22222222222223
2021-01-19 15:00:00;11.09;43.5;0.111;255.0
2021-01-19 16:00:00;8.93;52.39;0.183;108.88888888888889
2021-01-19 17:00:00;7.13;63.27;0.0;6.516666666666667
2021-01-19 18:00:00;6.546;67.72;0.0;0.0
2021-01-19 19:00:00;6.751;64.53;0.0;0.0
2021-01-19 20:00:00;6.344;60.19;0.013;0.0
2021-01-19 21:00:00;6.616;59.85;0.0;0.0
2021-01-19 22:00:00;6.955;61.2;0.023;0.0
